Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
1,Exit long,2024-02-28 18:00,SMC_SAT,31.2,10,326,-14,-4.29,20,6.13,-14,-4.29,-14,-0.14,141
1,Entry long,2024-02-22 16:45,BOS+OB,32.6,10,326,-14,-4.29,20,6.13,-14,-4.29,-14,-0.14,141
2,Exit long,2024-03-06 11:00,SMC_SAT,30.36,11,343.75,-9.9,-2.88,1.1,0.32,-9.9,-2.88,-23.9,-0.24,7
2,Entry long,2024-03-05 17:45,BOS+OB,31.26,11,343.75,-9.9,-2.88,1.1,0.32,-9.9,-2.88,-23.9,-0.24,7
3,Exit long,2024-03-13 17:45,SMC_SAT,29.66,11,342.65,-16.5,-4.82,13.75,4.01,-16.5,-4.82,-40.4,-0.40,136
3,Entry long,2024-03-07 17:45,BOS+OB,31.16,11,342.65,-16.5,-4.82,13.75,4.01,-16.5,-4.82,-40.4,-0.40,136
4,Exit long,2024-03-26 12:00,SMC_SAT,29.86,11,342.65,-14.3,-4.17,3.85,1.12,-14.3,-4.17,-54.7,-0.55,33
4,Entry long,2024-03-25 12:15,BOS+OB,31.16,11,342.65,-14.3,-4.17,3.85,1.12,-14.3,-4.17,-54.7,-0.55,33
5,Exit long,2024-05-21 11:45,SMC_SAT,45.3,9,343.35,64.35,18.74,64.35,18.74,-1.35,-0.39,9.65,0.10,665
5,Entry long,2024-04-19 15:30,BOS+OB,38.16,9,343.35,64.35,18.74,64.35,18.74,-1.35,-0.39,9.65,0.10,665
6,Exit long,2024-06-04 16:45,SMC_SAT,48.76,7,318.15,23.1,7.26,23.1,7.26,-4.2,-1.32,32.75,0.33,109
6,Entry long,2024-05-30 15:00,BOS+OB,45.46,7,318.15,23.1,7.26,23.1,7.26,-4.2,-1.32,32.75,0.33,109
7,Exit long,2024-06-06 17:45,SMC_SAT,47.2,7,346.5,-16.1,-4.65,4.2,1.21,-16.1,-4.65,16.65,0.17,33
7,Entry long,2024-06-05 18:00,BOS+OB,49.5,7,346.5,-16.1,-4.65,4.2,1.21,-16.1,-4.65,16.65,0.17,33
8,Exit long,2024-06-20 10:45,SMC_SAT,51.25,7,342.3,16.45,4.81,16.45,4.81,-4.9,-1.43,33.1,0.33,32
8,Entry long,2024-06-14 11:15,BOS+OB,48.9,7,342.3,16.45,4.81,16.45,4.81,-4.9,-1.43,33.1,0.33,32
9,Exit long,2024-07-16 16:30,SMC_SAT,50.65,6,314.1,-10.2,-3.25,5.1,1.62,-10.2,-3.25,22.9,0.23,103
9,Entry long,2024-07-10 16:15,BOS+OB,52.35,6,314.1,-10.2,-3.25,5.1,1.62,-10.2,-3.25,22.9,0.23,103
10,Exit long,2024-07-25 10:00,SMC_SAT,50.35,6,311.7,-9.6,-3.08,0.3,0.10,-9.6,-3.08,13.3,0.13,26
10,Entry long,2024-07-24 12:00,BOS+OB,51.95,6,311.7,-9.6,-3.08,0.3,0.10,-9.6,-3.08,13.3,0.13,26
11,Exit long,2024-09-03 17:45,SMC_SAT,50.9,7,338.8,17.5,5.17,17.5,5.17,-7.7,-2.27,30.8,0.31,135
