Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
1,Exit long,2024-02-07 10:45,SMC_SAT,63.9,5,326.5,-7,-2.14,7,2.14,-7,-2.14,-7,-0.07,110
1,Entry long,2024-02-01 17:15,BOS+OB,65.3,5,326.5,-7,-2.14,7,2.14,-7,-2.14,-7,-0.07,110
2,Exit long,2024-02-14 14:15,SMC_SAT,62.8,5,324.5,-10.5,-3.24,6.5,2.00,-10.5,-3.24,-17.5,-0.17,74
2,Entry long,2024-02-12 12:45,BOS+OB,64.9,5,324.5,-10.5,-3.24,6.5,2.00,-10.5,-3.24,-17.5,-0.17,74
3,Exit long,2024-02-21 12:00,SMC_SAT,61.4,5,317.5,-10.5,-3.31,7,2.20,-10.5,-3.31,-28,-0.28,125
3,Entry long,2024-02-15 14:45,BOS+OB,63.5,5,317.5,-10.5,-3.31,7,2.20,-10.5,-3.31,-28,-0.28,125
4,Exit long,2024-03-04 15:45,SMC_SAT,60.1,5,310.5,-10,-3.22,12,3.86,-10,-3.22,-38,-0.38,234
4,Entry long,2024-02-22 16:45,BOS+OB,62.1,5,310.5,-10,-3.22,12,3.86,-10,-3.22,-38,-0.38,234
5,Exit long,2024-03-11 09:45,SMC_SAT,61.6,5,296,12,4.05,12,4.05,-2,-0.68,-26,-0.26,65
5,Entry long,2024-03-07 10:30,BOS+OB,59.2,5,296,12,4.05,12,4.05,-2,-0.68,-26,-0.26,65
6,Exit long,2024-04-15 10:45,SMC_SAT,68,5,346,-6,-1.73,9,2.60,-6,-1.73,-32,-0.32,31
6,Entry long,2024-04-08 14:30,BOS+OB,69.2,5,346,-6,-1.73,9,2.60,-6,-1.73,-32,-0.32,31
7,Exit long,2024-04-19 15:30,SMC_SAT,72.3,5,349.5,12,3.43,12,3.43,-2,-0.57,-20,-0.20,40
7,Entry long,2024-04-18 14:00,BOS+OB,69.9,5,349.5,12,3.43,12,3.43,-2,-0.57,-20,-0.20,40
8,Exit long,2024-05-03 17:15,SMC_SAT,77,4,296.8,11.2,3.77,11.2,3.77,-4.8,-1.62,-8.8,-0.09,122
8,Entry long,2024-04-29 12:15,BOS+OB,74.2,4,296.8,11.2,3.77,11.2,3.77,-4.8,-1.62,-8.8,-0.09,122
9,Exit long,2024-05-31 09:45,SMC_SAT,90.7,4,339.2,23.6,6.96,23.6,6.96,-0.4,-0.12,14.8,0.15,41
9,Entry long,2024-05-29 16:30,BOS+OB,84.8,4,339.2,23.6,6.96,23.6,6.96,-0.4,-0.12,14.8,0.15,41
10,Exit long,2024-08-26 11:15,SMC_SAT,84.8,3,279.6,-25.2,-9.01,42.9,15.34,-25.2,-9.01,-10.4,-0.10,1924
10,Entry long,2024-05-31 14:15,BOS+OB,93.2,3,279.6,-25.2,-9.01,42.9,15.34,-25.2,-9.01,-10.4,-0.10,1924
11,Exit long,2024-09-02 10:00,SMC_SAT,93.6,3,267.3,13.5,5.05,13.5,5.05,-1.5,-0.56,3.1,0.03,71
11,Entry long,2024-08-27 17:45,BOS+OB,89.1,3,267.3,13.5,5.05,13.5,5.05,-1.5,-0.56,3.1,0.03,71
12,Exit long,2024-09-12 16:15,SMC_SAT,89.5,3,275.4,-6.9,-2.51,4.8,1.74,-6.9,-2.51,-3.8,-0.04,55
