Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
1,Exit long,2024-02-29 14:45,SMC_SAT,164.5,2,304.8,24.2,7.94,24.2,7.94,-0.8,-0.26,24.2,0.24,544
1,Entry long,2024-02-07 14:45,BOS+OB,152.4,2,304.8,24.2,7.94,24.2,7.94,-0.8,-0.26,24.2,0.24,544
2,Exit long,2024-03-04 11:15,SMC_SAT,158.4,2,329.4,-12.6,-3.83,13.6,4.13,-12.6,-3.83,11.6,0.12,53
2,Entry long,2024-02-29 15:00,BOS+OB,164.7,2,329.4,-12.6,-3.83,13.6,4.13,-12.6,-3.83,11.6,0.12,53
3,Exit long,2024-03-06 11:15,SMC_SAT,156.3,2,319.4,-6.8,-2.13,1.4,0.44,-6.8,-2.13,4.8,0.05,10
3,Entry long,2024-03-05 17:15,BOS+OB,159.7,2,319.4,-6.8,-2.13,1.4,0.44,-6.8,-2.13,4.8,0.05,10
4,Exit long,2024-04-02 14:45,SMC_SAT,154.9,2,292.4,17.4,5.95,17.4,5.95,-4.6,-1.57,22.2,0.22,124
4,Entry long,2024-03-27 17:45,BOS+OB,146.2,2,292.4,17.4,5.95,17.4,5.95,-4.6,-1.57,22.2,0.22,124
5,Exit long,2024-04-08 10:00,SMC_SAT,166.7,2,316.6,16.7,5.27,16.7,5.27,-2.8,-0.88,38.9,0.39,39
5,Entry long,2024-04-04 17:15,BOS+OB,158.3,2,316.6,16.7,5.27,16.7,5.27,-2.8,-0.88,38.9,0.39,39
6,Exit long,2024-04-15 13:45,SMC_SAT,161.4,2,333,-10.3,-3.09,4.8,1.44,-10.3,-3.09,28.6,0.29,37
6,Entry long,2024-04-08 16:00,BOS+OB,166.5,2,333,-10.3,-3.09,4.8,1.44,-10.3,-3.09,28.6,0.29,37
7,Exit long,2024-04-25 14:45,SMC_SAT,169.5,2,323,16,4.95,16,4.95,-6.6,-2.04,44.6,0.45,209
7,Entry long,2024-04-16 13:30,BOS+OB,161.5,2,323,16,4.95,16,4.95,-6.6,-2.04,44.6,0.45,209
8,Exit long,2024-04-29 09:45,SMC_SAT,162.5,2,339.6,-14.6,-4.30,2.6,0.77,-14.6,-4.30,30,0.30,10
8,Entry long,2024-04-26 15:45,BOS+OB,169.8,2,339.6,-14.6,-4.30,2.6,0.77,-14.6,-4.30,30,0.30,10
9,Exit long,2024-05-09 12:30,SMC_SAT,177.1,1,183.7,-6.6,-3.59,1,0.54,-6.6,-3.59,23.4,0.23,50
9,Entry long,2024-05-07 17:00,BOS+OB,183.7,1,183.7,-6.6,-3.59,1,0.54,-6.6,-3.59,23.4,0.23,50
10,Exit long,2024-05-14 11:15,SMC_SAT,179.9,1,185.1,-5.25,-2.84,1.6,0.86,-5.25,-2.84,18.15,0.18,19
10,Entry long,2024-05-13 15:00,BOS+OB,185.1,1,185.1,-5.25,-2.84,1.6,0.86,-5.25,-2.84,18.15,0.18,19
11,Exit long,2024-05-24 13:30,SMC_SAT,187.4,1,193,-5.6,-2.90,3.1,1.61,-5.6,-2.90,12.55,0.13,88
11,Entry long,2024-05-21 17:00,BOS+OB,193,1,193,-5.6,-2.90,3.1,1.61,-5.6,-2.90,12.55,0.13,88
12,Exit long,2024-06-27 17:15,SMC_SAT,179.7,2,342.2,17.2,5.03,17.2,5.03,-1.6,-0.47,29.75,0.30,74
12,Entry long,2024-06-25 15:45,BOS+OB,171.1,2,342.2,17.2,5.03,17.2,5.03,-1.6,-0.47,29.75,0.30,74
13,Exit long,2024-07-18 17:45,SMC_SAT,169.4,2,345.6,-6.9,-2.00,0.4,0.12,-6.9,-2.00,22.85,0.23,23
13,Entry long,2024-07-18 12:00,BOS+OB,172.8,2,345.6,-6.9,-2.00,0.4,0.12,-6.9,-2.00,22.85,0.23,23
14,Exit long,2024-07-31 09:45,SMC_SAT,174,1,181.2,-7.2,-3.97,12.1,6.68,-7.2,-3.97,15.65,0.16,127
14,Entry long,2024-07-25 12:00,BOS+OB,181.2,1,181.2,-7.2,-3.97,12.1,6.68,-7.2,-3.97,15.65,0.16,127
15,Exit long,2024-08-09 16:15,SMC_SAT,152.9,2,318.8,-13.1,-4.11,3.8,1.19,-13.1,-4.11,2.55,0.03,35
15,Entry long,2024-08-08 16:00,BOS+OB,159.4,2,318.8,-13.1,-4.11,3.8,1.19,-13.1,-4.11,2.55,0.03,35
16,Exit long,2024-08-15 10:00,SMC_SAT,146.5,2,297.6,-4.6,-1.55,4.2,1.41,-4.6,-1.55,-2.05,-0.02,46
16,Entry long,2024-08-13 15:30,BOS+OB,148.8,2,297.6,-4.6,-1.55,4.2,1.41,-4.6,-1.55,-2.05,-0.02,46
17,Exit long,2024-08-21 16:15,SMC_SAT,151,2,307.6,-5.7,-1.85,0,0.00,-5.7,-1.85,-7.75,-0.08,11
