Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
1,Exit long,2024-02-07 11:00,SMC_SAT,149.1,2,303,-4.8,-1.58,2.8,0.92,-4.8,-1.58,-4.8,-0.05,65
1,Entry long,2024-02-05 11:45,BOS+OB,151.5,2,303,-4.8,-1.58,2.8,0.92,-4.8,-1.58,-4.8,-0.05,65
2,Exit long,2024-02-13 17:00,SMC_SAT,151.1,2,306.8,-4.6,-1.50,0.6,0.20,-4.6,-1.50,-9.4,-0.09,51
2,Entry long,2024-02-12 12:45,BOS+OB,153.4,2,306.8,-4.6,-1.50,0.6,0.20,-4.6,-1.50,-9.4,-0.09,51
3,Exit long,2024-02-29 13:30,SMC_SAT,149.5,2,306,-7,-2.29,8.4,2.75,-7,-2.29,-16.4,-0.16,284
3,Entry long,2024-02-19 10:30,BOS+OB,153,2,306,-7,-2.29,8.4,2.75,-7,-2.29,-16.4,-0.16,284
4,Exit long,2024-03-18 10:00,SMC_SAT,155.4,2,316.6,-5.8,-1.83,1.8,0.57,-5.8,-1.83,-22.2,-0.22,6
4,Entry long,2024-03-15 17:00,BOS+OB,158.3,2,316.6,-5.8,-1.83,1.8,0.57,-5.8,-1.83,-22.2,-0.22,6
5,Exit long,2024-03-20 12:45,SMC_SAT,163.1,2,311.4,14.8,4.75,14.8,4.75,-3.2,-1.03,-7.4,-0.07,51
5,Entry long,2024-03-18 17:00,BOS+OB,155.7,2,311.4,14.8,4.75,14.8,4.75,-3.2,-1.03,-7.4,-0.07,51
6,Exit long,2024-03-28 14:30,SMC_SAT,178.3,2,341,15.6,4.57,15.6,4.57,-3.6,-1.06,8.2,0.08,22
6,Entry long,2024-03-27 17:30,BOS+OB,170.5,2,341,15.6,4.57,15.6,4.57,-3.6,-1.06,8.2,0.08,22
7,Exit long,2024-04-29 17:45,SMC_SAT,208,1,187,21,11.23,21,11.23,-7,-3.74,29.2,0.29,517
7,Entry long,2024-04-02 10:30,BOS+OB,187,1,187,21,11.23,21,11.23,-7,-3.74,29.2,0.29,517
8,Exit long,2024-05-03 15:15,SMC_SAT,212.6,1,216.8,-4.2,-1.94,0.6,0.28,-4.2,-1.94,25,0.25,16
8,Entry long,2024-05-03 11:15,BOS+OB,216.8,1,216.8,-4.2,-1.94,0.6,0.28,-4.2,-1.94,25,0.25,16
9,Exit long,2024-05-21 10:45,SMC_SAT,237.1,1,221.8,15.3,6.90,15.3,6.90,-6.6,-2.98,40.3,0.40,226
9,Entry long,2024-05-10 13:45,BOS+OB,221.8,1,221.8,15.3,6.90,15.3,6.90,-6.6,-2.98,40.3,0.40,226
10,Exit long,2024-06-25 12:00,SMC_SAT,201.6,1,205.7,-4.1,-1.99,1.7,0.83,-4.1,-1.99,36.2,0.36,83
10,Entry long,2024-06-20 16:45,BOS+OB,205.7,1,205.7,-4.1,-1.99,1.7,0.83,-4.1,-1.99,36.2,0.36,83
11,Exit long,2024-07-25 14:30,SMC_SAT,203.7,1,212.9,-9.2,-4.32,6.3,2.96,-9.2,-4.32,27,0.27,476
11,Entry long,2024-07-04 14:30,BOS+OB,212.9,1,212.9,-9.2,-4.32,6.3,2.96,-9.2,-4.32,27,0.27,476
12,Exit long,2024-08-21 10:30,SMC_SAT,173.7,2,335,12.4,3.70,12.4,3.70,-0.2,-0.06,39.4,0.39,51
12,Entry long,2024-08-19 14:45,BOS+OB,167.5,2,335,12.4,3.70,12.4,3.70,-0.2,-0.06,39.4,0.39,51
13,Exit long,2024-09-19 14:15,SMC_SAT,171.6,2,322.8,20.4,6.32,20.4,6.32,-6,-1.86,59.8,0.60,124
13,Entry long,2024-09-13 17:15,BOS+OB,161.4,2,322.8,20.4,6.32,20.4,6.32,-6,-1.86,59.8,0.60,124
14,Exit long,2024-09-24 12:30,SMC_SAT,176.1,2,342.4,9.8,2.86,9.8,2.86,-2.4,-0.70,69.6,0.70,26
14,Entry long,2024-09-23 14:30,BOS+OB,171.2,2,342.4,9.8,2.86,9.8,2.86,-2.4,-0.70,69.6,0.70,26
15,Exit long,2024-10-01 16:45,SMC_SAT,169.3,2,344.8,-6.2,-1.80,5,1.45,-6.2,-1.80,63.4,0.63,89
15,Entry long,2024-09-27 11:30,BOS+OB,172.4,2,344.8,-6.2,-1.80,5,1.45,-6.2,-1.80,63.4,0.63,89
16,Exit long,2024-10-17 10:45,SMC_SAT,169.1,2,327,11.2,3.43,11.2,3.43,-0.4,-0.12,74.6,0.75,11
16,Entry long,2024-10-16 16:30,BOS+OB,163.5,2,327,11.2,3.43,11.2,3.43,-0.4,-0.12,74.6,0.75,11
17,Exit long,2024-11-01 12:15,SMC_SAT,155,2,314.4,-4.4,-1.40,7.8,2.48,-4.4,-1.40,70.2,0.70,178
17,Entry long,2024-10-23 13:15,BOS+OB,157.2,2,314.4,-4.4,-1.40,7.8,2.48,-4.4,-1.40,70.2,0.70,178
18,Exit long,2024-11-07 15:15,SMC_SAT,149.2,2,303.6,-5.2,-1.71,0,0.00,-5.2,-1.71,65,0.65,19
18,Entry long,2024-11-07 10:30,BOS+OB,151.8,2,303.6,-5.2,-1.71,0,0.00,-5.2,-1.71,65,0.65,19
19,Exit long,2024-11-08 11:45,SMC_SAT,155.9,2,300.2,11.6,3.86,11.6,3.86,0,0.00,76.6,0.77,5
19,Entry long,2024-11-08 10:30,BOS+OB,150.1,2,300.2,11.6,3.86,11.6,3.86,0,0.00,76.6,0.77,5
20,Exit long,2024-11-13 10:45,SMC_SAT,158.1,2,323,-6.8,-2.11,4.4,1.36,-6.8,-2.11,69.8,0.70,46
20,Entry long,2024-11-11 16:15,BOS+OB,161.5,2,323,-6.8,-2.11,4.4,1.36,-6.8,-2.11,69.8,0.70,46
21,Exit long,2024-11-29 10:00,SMC_SAT,186.3,2,348,24.6,7.07,24.6,7.07,-4.2,-1.21,94.4,0.94,175
21,Entry long,2024-11-21 17:15,BOS+OB,174,2,348,24.6,7.07,24.6,7.07,-4.2,-1.21,94.4,0.94,175
22,Exit long,2024-11-29 17:15,SMC_SAT,181.1,1,185.5,-4.4,-2.37,5.9,3.18,-4.4,-2.37,90,0.90,9
22,Entry long,2024-11-29 15:00,BOS+OB,185.5,1,185.5,-4.4,-2.37,5.9,3.18,-4.4,-2.37,90,0.90,9
23,Exit long,2024-12-10 14:15,SMC_SAT,182.2,1,186.2,-4,-2.15,0.3,0.16,-4,-2.15,86,0.86,28
23,Entry long,2024-12-09 15:45,BOS+OB,186.2,1,186.2,-4,-2.15,0.3,0.16,-4,-2.15,86,0.86,28
24,Exit long,2024-12-17 11:45,SMC_SAT,177.4,1,181.1,-3.7,-2.04,1.2,0.66,-3.7,-2.04,82.3,0.82,44
24,Entry long,2024-12-13 17:45,BOS+OB,181.1,1,181.1,-3.7,-2.04,1.2,0.66,-3.7,-2.04,82.3,0.82,44
25,Exit long,2025-01-13 17:00,SMC_SAT,164.3,2,335.6,-7,-2.09,12,3.58,-7,-2.09,75.3,0.75,264
25,Entry long,2025-01-02 10:30,BOS+OB,167.8,2,335.6,-7,-2.09,12,3.58,-7,-2.09,75.3,0.75,264
26,Exit long,2025-01-29 17:30,SMC_SAT,157.5,2,327,-12,-3.67,7.6,2.32,-12,-3.67,63.3,0.63,275
26,Entry long,2025-01-17 16:45,BOS+OB,163.5,2,327,-12,-3.67,7.6,2.32,-12,-3.67,63.3,0.63,275
27,Exit long,2025-02-17 18:00,SMC_SAT,145.7,2,299.6,-8.2,-2.74,9,3.00,-8.2,-2.74,55.1,0.55,234
27,Entry long,2025-02-07 10:30,BOS+OB,149.8,2,299.6,-8.2,-2.74,9,3.00,-8.2,-2.74,55.1,0.55,234
28,Exit long,2025-02-21 17:30,SMC_SAT,136.4,2,278.8,-6,-2.15,4.4,1.58,-6,-2.15,49.1,0.49,27
28,Entry long,2025-02-21 10:45,BOS+OB,139.4,2,278.8,-6,-2.15,4.4,1.58,-6,-2.15,49.1,0.49,27
29,Exit long,2025-03-03 10:00,SMC_SAT,143.4,2,276.4,10.4,3.76,10.4,3.76,-2.2,-0.80,59.5,0.60,81
29,Entry long,2025-02-26 15:15,BOS+OB,138.2,2,276.4,10.4,3.76,10.4,3.76,-2.2,-0.80,59.5,0.60,81
30,Exit long,2025-03-05 15:30,SMC_SAT,145.4,2,282.2,8.6,3.05,8.6,3.05,-0.4,-0.14,68.1,0.68,11
30,Entry long,2025-03-05 12:45,BOS+OB,141.1,2,282.2,8.6,3.05,8.6,3.05,-0.4,-0.14,68.1,0.68,11
31,Exit long,2025-03-13 17:30,SMC_SAT,169.2,2,320.8,17.6,5.49,17.6,5.49,-0.4,-0.12,85.7,0.86,70
31,Entry long,2025-03-11 17:00,BOS+OB,160.4,2,320.8,17.6,5.49,17.6,5.49,-0.4,-0.12,85.7,0.86,70
32,Exit long,2025-03-27 15:45,SMC_SAT,149.1,2,313.4,-15.2,-4.85,2,0.64,-15.2,-4.85,70.5,0.71,72
32,Entry long,2025-03-25 14:45,BOS+OB,156.7,2,313.4,-15.2,-4.85,2,0.64,-15.2,-4.85,70.5,0.71,72
33,Exit long,2025-04-15 13:30,SMC_SAT,140.1,2,287.6,-7.4,-2.57,12.2,4.24,-7.4,-2.57,63.1,0.63,195
33,Entry long,2025-04-07 15:45,BOS+OB,143.8,2,287.6,-7.4,-2.57,12.2,4.24,-7.4,-2.57,63.1,0.63,195
34,Exit long,2025-05-05 14:45,SMC_SAT,130.2,2,278.2,-17.8,-6.40,20.4,7.33,-17.8,-6.40,45.3,0.45,321
34,Entry long,2025-04-18 11:00,BOS+OB,139.1,2,278.2,-17.8,-6.40,20.4,7.33,-17.8,-6.40,45.3,0.45,321
35,Exit long,2025-05-15 11:15,SMC_SAT,146.1,2,302.2,-10,-3.31,1.2,0.40,-10,-3.31,35.3,0.35,37
35,Entry long,2025-05-14 10:30,BOS+OB,151.1,2,302.2,-10,-3.31,1.2,0.40,-10,-3.31,35.3,0.35,37
36,Exit long,2025-05-23 15:30,SMC_SAT,141.3,2,295.6,-13,-4.40,13.8,4.67,-13,-4.40,22.3,0.22,140
36,Entry long,2025-05-16 14:30,BOS+OB,147.8,2,295.6,-13,-4.40,13.8,4.67,-13,-4.40,22.3,0.22,140
37,Exit long,2025-06-12 14:30,SMC_SAT,141,2,291.8,-9.8,-3.36,3.4,1.17,-9.8,-3.36,12.5,0.13,73
37,Entry long,2025-06-10 13:15,BOS+OB,145.9,2,291.8,-9.8,-3.36,3.4,1.17,-9.8,-3.36,12.5,0.13,73
38,Exit long,2025-06-26 16:30,SMC_SAT,137.1,2,281.4,-7.2,-2.56,10,3.55,-7.2,-2.56,5.3,0.05,130
38,Entry long,2025-06-20 18:00,BOS+OB,140.7,2,281.4,-7.2,-2.56,10,3.55,-7.2,-2.56,5.3,0.05,130
39,Exit long,2025-07-02 13:15,SMC_SAT,158.3,2,299.6,17,5.67,17,5.67,-0.8,-0.27,22.3,0.22,45
39,Entry long,2025-07-01 10:30,BOS+OB,149.8,2,299.6,17,5.67,17,5.67,-0.8,-0.27,22.3,0.22,45
40,Exit long,2025-07-22 16:30,SMC_SAT,169.3,2,319.2,19.4,6.08,19.4,6.08,-15.6,-4.89,41.7,0.42,231
40,Entry long,2025-07-11 09:45,BOS+OB,159.6,2,319.2,19.4,6.08,19.4,6.08,-15.6,-4.89,41.7,0.42,231
41,Exit long,2025-09-02 16:00,SMC_SAT,166,2,345.2,-13.2,-3.82,22,6.37,-13.2,-3.82,28.5,0.29,786
41,Entry long,2025-07-31 15:00,BOS+OB,172.6,2,345.2,-13.2,-3.82,22,6.37,-13.2,-3.82,28.5,0.29,786
42,Exit long,2025-09-08 09:45,SMC_SAT,158.7,2,326.6,-9.2,-2.82,9.2,2.82,-9.2,-2.82,19.3,0.19,74
42,Entry long,2025-09-03 16:45,BOS+OB,163.3,2,326.6,-9.2,-2.82,9.2,2.82,-9.2,-2.82,19.3,0.19,74
43,Exit long,2025-10-13 17:45,SMC_SAT,154.5,2,343.8,-34.8,-10.12,23.4,6.81,-34.8,-10.12,-15.5,-0.15,691
43,Entry long,2025-09-15 15:00,BOS+OB,171.9,2,343.8,-34.8,-10.12,23.4,6.81,-34.8,-10.12,-15.5,-0.15,691
44,Exit long,2025-10-24 11:00,SMC_SAT,165.6,2,296.4,34.8,11.74,34.8,11.74,-1.2,-0.40,19.3,0.19,121
44,Entry long,2025-10-20 14:45,BOS+OB,148.2,2,296.4,34.8,11.74,34.8,11.74,-1.2,-0.40,19.3,0.19,121
45,Exit long,2025-11-03 10:00,SMC_SAT,167.7,2,323.4,12,3.71,12,3.71,-0.2,-0.06,31.3,0.31,32
45,Entry long,2025-10-31 10:30,BOS+OB,161.7,2,323.4,12,3.71,12,3.71,-0.2,-0.06,31.3,0.31,32
46,Exit long,2025-11-18 12:00,SMC_SAT,164.7,2,317.8,11.6,3.65,11.6,3.65,-5.6,-1.76,42.9,0.43,113
46,Entry long,2025-11-12 17:45,BOS+OB,158.9,2,317.8,11.6,3.65,11.6,3.65,-5.6,-1.76,42.9,0.43,113
47,Exit long,2026-01-12 17:00,SMC_SAT,182.9,1,176.6,6.3,3.57,6.3,3.57,-1,-0.57,49.2,0.49,42
47,Entry long,2026-01-09 15:00,BOS+OB,176.6,1,176.6,6.3,3.57,6.3,3.57,-1,-0.57,49.2,0.49,42
48,Exit long,2026-01-21 14:45,SMC_SAT,183.7,1,188,-4.3,-2.29,2.5,1.33,-4.3,-2.29,44.9,0.45,140
48,Entry long,2026-01-15 13:45,BOS+OB,188,1,188,-4.3,-2.29,2.5,1.33,-4.3,-2.29,44.9,0.45,140
49,Exit long,2026-01-29 15:00,SMC_SAT,199,1,191.7,7.3,3.81,7.3,3.81,-3.6,-1.88,52.2,0.52,96
49,Entry long,2026-01-26 16:30,BOS+OB,191.7,1,191.7,7.3,3.81,7.3,3.81,-3.6,-1.88,52.2,0.52,96
50,Exit long,2026-02-06 09:45,SMC_SAT,196.7,1,201.5,-4.8,-2.38,1.4,0.69,-4.8,-2.38,47.4,0.47,47
50,Entry long,2026-02-04 15:00,BOS+OB,201.5,1,201.5,-4.8,-2.38,1.4,0.69,-4.8,-2.38,47.4,0.47,47
51,Exit long,2026-03-09 09:45,SMC_SAT,175.5,1,188.5,-13,-6.90,1.8,0.95,-13,-6.90,34.4,0.34,143
51,Entry long,2026-03-02 16:30,BOS+OB,188.5,1,188.5,-13,-6.90,1.8,0.95,-13,-6.90,34.4,0.34,143
52,Exit long,2026-03-19 10:00,SMC_SAT,181.7,1,185.1,-3.4,-1.84,5,2.70,-3.4,-1.84,31,0.31,175
52,Entry long,2026-03-11 17:15,BOS+OB,185.1,1,185.1,-3.4,-1.84,5,2.70,-3.4,-1.84,31,0.31,175
53,Exit long,2026-03-30 14:30,SMC_SAT,196.5,1,189.1,7.4,3.91,7.4,3.91,-0.5,-0.26,38.4,0.38,58
