Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
1,Exit long,2024-02-07 12:45,SMC_SAT,73.25,4,282.4,10.6,3.75,10.6,3.75,-3,-1.06,10.6,0.11,43
1,Entry long,2024-02-06 10:30,BOS+OB,70.6,4,282.4,10.6,3.75,10.6,3.75,-3,-1.06,10.6,0.11,43
2,Exit long,2024-02-14 14:15,SMC_SAT,72.1,4,298,-9.6,-3.22,8.8,2.95,-9.6,-3.22,1,0.01,150
2,Entry long,2024-02-08 10:45,BOS+OB,74.5,4,298,-9.6,-3.22,8.8,2.95,-9.6,-3.22,1,0.01,150
3,Exit long,2024-03-04 10:15,SMC_SAT,71.15,4,293,-8.4,-2.87,14.8,5.05,-8.4,-2.87,-7.4,-0.07,412
3,Entry long,2024-02-14 17:45,BOS+OB,73.25,4,293,-8.4,-2.87,14.8,5.05,-8.4,-2.87,-7.4,-0.07,412
4,Exit long,2024-03-28 14:45,SMC_SAT,76.2,4,287.8,17,5.91,17,5.91,-4.2,-1.46,9.6,0.10,29
4,Entry long,2024-03-27 16:00,BOS+OB,71.95,4,287.8,17,5.91,17,5.91,-4.2,-1.46,9.6,0.10,29
5,Exit long,2024-05-10 10:00,SMC_SAT,91.75,4,350,17,4.86,17,4.86,-2.6,-0.74,26.6,0.27,179
5,Entry long,2024-05-02 16:15,BOS+OB,87.5,4,350,17,4.86,17,4.86,-2.6,-0.74,26.6,0.27,179
6,Exit long,2024-05-20 10:30,SMC_SAT,98.1,3,275.4,18.9,6.86,18.9,6.86,-0.9,-0.33,45.5,0.46,115
6,Entry long,2024-05-14 15:45,BOS+OB,91.8,3,275.4,18.9,6.86,18.9,6.86,-0.9,-0.33,45.5,0.46,115
7,Exit long,2024-05-27 15:30,SMC_SAT,96.35,3,300.45,-11.4,-3.79,13.95,4.64,-11.4,-3.79,34.1,0.34,155
7,Entry long,2024-05-21 10:45,BOS+OB,100.2,3,300.45,-11.4,-3.79,13.95,4.64,-11.4,-3.79,34.1,0.34,155
8,Exit long,2024-06-13 10:15,SMC_SAT,90.3,4,346.8,14.4,4.15,14.4,4.15,-1.2,-0.35,48.5,0.49,20
8,Entry long,2024-06-12 13:45,BOS+OB,86.7,4,346.8,14.4,4.15,14.4,4.15,-1.2,-0.35,48.5,0.49,20
9,Exit long,2024-07-03 17:15,SMC_SAT,93.55,3,262.65,18,6.85,18,6.85,0,0.00,66.5,0.66,41
