Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
1,Exit long,2024-02-13 17:45,SMC_SAT,276,1,284,-8,-2.82,4,1.41,-8,-2.82,-8,-0.08,175
1,Entry long,2024-02-06 16:30,BOS+OB,284,1,284,-8,-2.82,4,1.41,-8,-2.82,-8,-0.08,175
2,Exit long,2024-02-28 18:00,SMC_SAT,270,1,280,-10,-3.57,3.75,1.34,-10,-3.57,-18,-0.18,318
2,Entry long,2024-02-15 15:00,BOS+OB,280,1,280,-10,-3.57,3.75,1.34,-10,-3.57,-18,-0.18,318
3,Exit long,2024-03-07 10:45,SMC_SAT,264.75,1,258,6.75,2.62,6.75,2.62,-3.25,-1.26,-11.25,-0.11,10
3,Entry long,2024-03-06 16:45,BOS+OB,258,1,258,6.75,2.62,6.75,2.62,-3.25,-1.26,-11.25,-0.11,10
4,Exit long,2024-03-22 11:30,SMC_SAT,283.5,1,268,15.5,5.78,15.5,5.78,-6.5,-2.43,4.25,0.04,341
4,Entry long,2024-03-08 11:15,BOS+OB,268,1,268,15.5,5.78,15.5,5.78,-6.5,-2.43,4.25,0.04,341
5,Exit long,2024-04-30 10:00,SMC_SAT,318.75,1,294.25,24.5,8.33,24.5,8.33,-0.75,-0.25,28.75,0.29,182
5,Entry long,2024-04-19 15:30,BOS+OB,294.25,1,294.25,24.5,8.33,24.5,8.33,-0.75,-0.25,28.75,0.29,182
6,Exit long,2024-05-13 10:15,SMC_SAT,310,1,318.5,-8.5,-2.67,4.5,1.41,-8.5,-2.67,20.25,0.20,213
6,Entry long,2024-05-02 16:30,BOS+OB,318.5,1,318.5,-8.5,-2.67,4.5,1.41,-8.5,-2.67,20.25,0.20,213
7,Exit long,2024-05-24 17:45,SMC_SAT,308.5,1,317,-8.5,-2.68,1.75,0.55,-8.5,-2.68,11.75,0.12,62
7,Entry long,2024-05-23 10:45,BOS+OB,317,1,317,-8.5,-2.68,1.75,0.55,-8.5,-2.68,11.75,0.12,62
8,Exit long,2024-06-24 15:15,SMC_SAT,303.75,1,310,-6.25,-2.02,0.25,0.08,-6.25,-2.02,5.5,0.06,22
8,Entry long,2024-06-24 09:45,BOS+OB,310,1,310,-6.25,-2.02,0.25,0.08,-6.25,-2.02,5.5,0.06,22
9,Exit long,2024-07-01 12:45,SMC_SAT,293.25,1,297.75,-4.5,-1.51,5.75,1.93,-4.5,-1.51,1,0.01,77
9,Entry long,2024-06-27 10:30,BOS+OB,297.75,1,297.75,-4.5,-1.51,5.75,1.93,-4.5,-1.51,1,0.01,77
10,Exit long,2024-07-18 15:00,SMC_SAT,311.25,1,301.75,9.5,3.15,9.5,3.15,-1.25,-0.41,10.5,0.11,50
10,Entry long,2024-07-17 11:00,BOS+OB,301.75,1,301.75,9.5,3.15,9.5,3.15,-1.25,-0.41,10.5,0.11,50
11,Exit long,2024-07-22 14:30,SMC_SAT,305,1,310,-5,-1.61,1.5,0.48,-5,-1.61,5.5,0.06,50
11,Entry long,2024-07-19 10:30,BOS+OB,310,1,310,-5,-1.61,1.5,0.48,-5,-1.61,5.5,0.06,50
12,Exit long,2024-08-22 16:00,SMC_SAT,288.5,1,295.5,-7,-2.37,0.5,0.17,-7,-2.37,-1.5,-0.01,56
12,Entry long,2024-08-21 10:30,BOS+OB,295.5,1,295.5,-7,-2.37,0.5,0.17,-7,-2.37,-1.5,-0.01,56
13,Exit long,2024-10-01 16:45,SMC_SAT,275.25,1,284.5,-9.25,-3.25,11.25,3.95,-9.25,-3.25,-10.75,-0.11,406
13,Entry long,2024-09-13 17:15,BOS+OB,284.5,1,284.5,-9.25,-3.25,11.25,3.95,-9.25,-3.25,-10.75,-0.11,406
14,Exit long,2024-10-08 10:15,SMC_SAT,262.75,1,267.5,-4.75,-1.78,0.5,0.19,-4.75,-1.78,-15.5,-0.15,20
14,Entry long,2024-10-07 13:45,BOS+OB,267.5,1,267.5,-4.75,-1.78,0.5,0.19,-4.75,-1.78,-15.5,-0.15,20
15,Exit long,2024-11-15 10:45,SMC_SAT,286.5,1,269,17.5,6.51,17.5,6.51,-8.25,-3.07,2,0.02,537
15,Entry long,2024-10-22 15:30,BOS+OB,269,1,269,17.5,6.51,17.5,6.51,-8.25,-3.07,2,0.02,537
16,Exit long,2024-11-25 15:45,SMC_SAT,288.25,1,272,16.25,5.97,16.25,5.97,-2,-0.74,18.25,0.18,62
16,Entry long,2024-11-21 17:15,BOS+OB,272,1,272,16.25,5.97,16.25,5.97,-2,-0.74,18.25,0.18,62
17,Exit long,2024-12-10 10:30,SMC_SAT,297.75,1,284.25,13.5,4.75,13.5,4.75,-2.75,-0.97,31.75,0.32,131
17,Entry long,2024-12-04 11:45,BOS+OB,284.25,1,284.25,13.5,4.75,13.5,4.75,-2.75,-0.97,31.75,0.32,131
18,Exit long,2024-12-19 09:45,SMC_SAT,281.75,1,292.75,-11,-3.76,0.75,0.26,-11,-3.76,20.75,0.21,40
18,Entry long,2024-12-17 16:45,BOS+OB,292.75,1,292.75,-11,-3.76,0.75,0.26,-11,-3.76,20.75,0.21,40
19,Exit long,2024-12-30 17:45,SMC_SAT,278.25,1,282.5,-4.25,-1.50,4,1.42,-4.25,-1.50,16.5,0.17,109
19,Entry long,2024-12-25 16:00,BOS+OB,282.5,1,282.5,-4.25,-1.50,4,1.42,-4.25,-1.50,16.5,0.17,109
20,Exit long,2025-01-13 14:30,SMC_SAT,283,1,289.25,-6.25,-2.16,0.75,0.26,-6.25,-2.16,10.25,0.10,28
20,Entry long,2025-01-10 16:00,BOS+OB,289.25,1,289.25,-6.25,-2.16,0.75,0.26,-6.25,-2.16,10.25,0.10,28
21,Exit long,2025-01-29 16:30,SMC_SAT,307,1,298,9,3.02,9,3.02,-5.25,-1.76,19.25,0.19,265
21,Entry long,2025-01-20 09:45,BOS+OB,298,1,298,9,3.02,9,3.02,-5.25,-1.76,19.25,0.19,265
22,Exit long,2025-02-04 13:00,SMC_SAT,300.25,1,306,-5.75,-1.88,4.75,1.55,-5.75,-1.88,13.5,0.14,121
22,Entry long,2025-01-29 16:45,BOS+OB,306,1,306,-5.75,-1.88,4.75,1.55,-5.75,-1.88,13.5,0.14,121
23,Exit long,2025-03-19 16:15,SMC_SAT,297,1,311.5,-14.5,-4.65,20.25,6.50,-14.5,-4.65,-1,-0.01,394
23,Entry long,2025-03-04 10:45,BOS+OB,311.5,1,311.5,-14.5,-4.65,20.25,6.50,-14.5,-4.65,-1,-0.01,394
24,Exit long,2025-04-30 10:00,SMC_SAT,289,1,305.25,-16.25,-5.32,12.5,4.10,-16.25,-5.32,-17.25,-0.17,515
24,Entry long,2025-04-07 17:15,BOS+OB,305.25,1,305.25,-16.25,-5.32,12.5,4.10,-16.25,-5.32,-17.25,-0.17,515
25,Exit long,2025-05-07 17:00,SMC_SAT,273.75,1,283.5,-9.75,-3.44,6.25,2.20,-9.75,-3.44,-27,-0.27,121
25,Entry long,2025-05-02 12:15,BOS+OB,283.5,1,283.5,-9.75,-3.44,6.25,2.20,-9.75,-3.44,-27,-0.27,121
26,Exit long,2025-05-12 09:45,SMC_SAT,298.5,1,277.5,21,7.57,21,7.57,-1.75,-0.63,-6,-0.06,59
26,Entry long,2025-05-08 12:00,BOS+OB,277.5,1,277.5,21,7.57,21,7.57,-1.75,-0.63,-6,-0.06,59
27,Exit long,2025-05-14 11:30,SMC_SAT,293.25,1,298.5,-5.25,-1.76,4,1.34,-5.25,-1.76,-11.25,-0.11,47
27,Entry long,2025-05-12 16:45,BOS+OB,298.5,1,298.5,-5.25,-1.76,4,1.34,-5.25,-1.76,-11.25,-0.11,47
28,Exit long,2025-06-12 14:45,SMC_SAT,273.25,1,279.75,-6.5,-2.32,6.75,2.41,-6.5,-2.32,-17.75,-0.18,106
28,Entry long,2025-06-04 16:45,BOS+OB,279.75,1,279.75,-6.5,-2.32,6.75,2.41,-6.5,-2.32,-17.75,-0.18,106
29,Exit long,2025-08-20 11:00,SMC_SAT,337,1,327.75,9.25,2.82,9.25,2.82,-1,-0.31,-8.5,-0.08,51
29,Entry long,2025-08-18 15:15,BOS+OB,327.75,1,327.75,9.25,2.82,9.25,2.82,-1,-0.31,-8.5,-0.08,51
30,Exit long,2025-09-02 15:30,SMC_SAT,330.75,1,336.25,-5.5,-1.64,0.5,0.15,-5.5,-1.64,-14,-0.14,54
30,Entry long,2025-09-01 10:30,BOS+OB,336.25,1,336.25,-5.5,-1.64,0.5,0.15,-5.5,-1.64,-14,-0.14,54
31,Exit long,2025-09-18 17:30,SMC_SAT,318,1,324,-6,-1.85,2,0.62,-6,-1.85,-20,-0.20,39
31,Entry long,2025-09-17 16:15,BOS+OB,324,1,324,-6,-1.85,2,0.62,-6,-1.85,-20,-0.20,39
32,Exit long,2025-10-06 15:00,SMC_SAT,308.5,1,314.25,-5.75,-1.83,4.5,1.43,-5.75,-1.83,-25.75,-0.26,102
32,Entry long,2025-10-01 15:00,BOS+OB,314.25,1,314.25,-5.75,-1.83,4.5,1.43,-5.75,-1.83,-25.75,-0.26,102
33,Exit long,2025-10-14 10:30,SMC_SAT,307.5,1,312.5,-5,-1.60,2,0.64,-5,-1.60,-30.75,-0.31,44
33,Entry long,2025-10-10 16:30,BOS+OB,312.5,1,312.5,-5,-1.60,2,0.64,-5,-1.60,-30.75,-0.31,44
34,Exit long,2025-12-29 11:00,SMC_SAT,265.25,1,273.5,-8.25,-3.02,10,3.66,-8.25,-3.02,-39,-0.39,1077
34,Entry long,2025-11-13 13:45,BOS+OB,273.5,1,273.5,-8.25,-3.02,10,3.66,-8.25,-3.02,-39,-0.39,1077
35,Exit long,2026-01-06 10:00,SMC_SAT,279.5,1,269.5,10,3.71,10,3.71,-2,-0.74,-29,-0.29,78
35,Entry long,2025-12-31 16:00,BOS+OB,269.5,1,269.5,10,3.71,10,3.71,-2,-0.74,-29,-0.29,78
36,Exit long,2026-01-13 12:45,SMC_SAT,287.25,1,293,-5.75,-1.96,1.5,0.51,-5.75,-1.96,-34.75,-0.35,51
36,Entry long,2026-01-09 17:00,BOS+OB,293,1,293,-5.75,-1.96,1.5,0.51,-5.75,-1.96,-34.75,-0.35,51
