Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
1,Exit long,2024-02-19 10:45,SMC_SAT,133.5,2,255,12,4.71,12,4.71,-2,-0.78,12,0.12,27
1,Entry long,2024-02-16 12:30,BOS+OB,127.5,2,255,12,4.71,12,4.71,-2,-0.78,12,0.12,27
2,Exit long,2024-03-08 10:00,SMC_SAT,131.8,2,248,15.5,6.25,15.5,6.25,-4,-1.61,27.5,0.27,204
2,Entry long,2024-02-29 10:00,BOS+OB,124,2,248,15.5,6.25,15.5,6.25,-4,-1.61,27.5,0.27,204
3,Exit long,2024-05-02 13:30,SMC_SAT,163.8,2,303.5,24,7.91,24,7.91,-6,-1.98,51.5,0.52,341
3,Entry long,2024-04-16 13:15,BOS+OB,151.8,2,303.5,24,7.91,24,7.91,-6,-1.98,51.5,0.52,341
4,Exit long,2024-05-23 09:45,SMC_SAT,151,2,317.5,-15.5,-4.88,5.5,1.73,-15.5,-4.88,36,0.36,63
4,Entry long,2024-05-21 11:00,BOS+OB,158.8,2,317.5,-15.5,-4.88,5.5,1.73,-15.5,-4.88,36,0.36,63
5,Exit long,2024-06-06 17:45,SMC_SAT,133.3,2,275,-8.5,-3.09,0.5,0.18,-8.5,-3.09,27.5,0.27,29
5,Entry long,2024-06-06 10:30,BOS+OB,137.5,2,275,-8.5,-3.09,0.5,0.18,-8.5,-3.09,27.5,0.27,29
6,Exit long,2024-06-26 17:15,SMC_SAT,136.5,2,277.5,-4.5,-1.62,2,0.72,-4.5,-1.62,23,0.23,119
6,Entry long,2024-06-21 13:00,BOS+OB,138.8,2,277.5,-4.5,-1.62,2,0.72,-4.5,-1.62,23,0.23,119
7,Exit long,2024-07-17 10:00,SMC_SAT,134.3,2,273.5,-5,-1.83,5,1.83,-5,-1.83,18,0.18,120
7,Entry long,2024-07-10 14:00,BOS+OB,136.8,2,273.5,-5,-1.83,5,1.83,-5,-1.83,18,0.18,120
8,Exit long,2024-07-22 16:30,SMC_SAT,133,2,272.5,-6.5,-2.39,1.5,0.55,-6.5,-2.39,11.5,0.12,86
8,Entry long,2024-07-18 12:00,BOS+OB,136.3,2,272.5,-6.5,-2.39,1.5,0.55,-6.5,-2.39,11.5,0.12,86
9,Exit long,2024-08-02 17:00,SMC_SAT,129.5,2,264.5,-5.5,-2.08,6,2.27,-5.5,-2.08,6,0.06,74
9,Entry long,2024-07-31 15:30,BOS+OB,132.3,2,264.5,-5.5,-2.08,6,2.27,-5.5,-2.08,6,0.06,74
10,Exit long,2024-08-29 14:45,SMC_SAT,137,2,264,10,3.79,10,3.79,-0.5,-0.19,16,0.16,69
10,Entry long,2024-08-27 14:30,BOS+OB,132,2,264,10,3.79,10,3.79,-0.5,-0.19,16,0.16,69
11,Exit long,2024-09-10 16:30,SMC_SAT,130.3,2,265,-4.5,-1.70,0.5,0.19,-4.5,-1.70,11.5,0.12,39
11,Entry long,2024-09-09 15:15,BOS+OB,132.5,2,265,-4.5,-1.70,0.5,0.19,-4.5,-1.70,11.5,0.12,39
12,Exit long,2024-10-03 10:00,SMC_SAT,132.8,2,275.5,-10,-3.63,0,0.00,-10,-3.63,1.5,0.02,43
12,Entry long,2024-10-01 16:15,BOS+OB,137.8,2,275.5,-10,-3.63,0,0.00,-10,-3.63,1.5,0.02,43
13,Exit long,2024-11-04 17:45,SMC_SAT,124.3,2,254.5,-6,-2.36,7.5,2.95,-6,-2.36,-4.5,-0.04,259
13,Entry long,2024-10-22 15:30,BOS+OB,127.3,2,254.5,-6,-2.36,7.5,2.95,-6,-2.36,-4.5,-0.04,259
14,Exit long,2024-11-19 12:30,SMC_SAT,127,2,259,-5,-1.93,1,0.39,-5,-1.93,-9.5,-0.09,62
14,Entry long,2024-11-15 14:00,BOS+OB,129.5,2,259,-5,-1.93,1,0.39,-5,-1.93,-9.5,-0.09,62
15,Exit long,2024-12-04 10:00,SMC_SAT,131.5,2,253,10,3.95,10,3.95,-1.5,-0.59,0.5,0.01,266
15,Entry long,2024-11-22 11:30,BOS+OB,126.5,2,253,10,3.95,10,3.95,-1.5,-0.59,0.5,0.01,266
16,Exit long,2025-01-21 15:00,SMC_SAT,124.8,2,254.5,-5,-1.96,6.5,2.55,-5,-1.96,-4.5,-0.04,263
16,Entry long,2025-01-09 17:15,BOS+OB,127.3,2,254.5,-5,-1.96,6.5,2.55,-5,-1.96,-4.5,-0.04,263
17,Exit long,2025-02-03 10:15,SMC_SAT,120.3,2,246,-5.5,-2.24,3.5,1.42,-5.5,-2.24,-10,-0.10,109
17,Entry long,2025-01-28 17:00,BOS+OB,123,2,246,-5.5,-2.24,3.5,1.42,-5.5,-2.24,-10,-0.10,109
18,Exit long,2025-02-13 18:00,SMC_SAT,118.3,2,242,-5.5,-2.27,7,2.89,-5.5,-2.27,-15.5,-0.15,234
18,Entry long,2025-02-05 10:30,BOS+OB,121,2,242,-5.5,-2.27,7,2.89,-5.5,-2.27,-15.5,-0.15,234
19,Exit long,2025-02-26 15:00,SMC_SAT,109.5,3,325.5,3,0.92,3,0.92,-0.75,-0.23,-12.5,-0.12,12
19,Entry long,2025-02-26 12:00,BOS+OB,108.5,3,325.5,3,0.92,3,0.92,-0.75,-0.23,-12.5,-0.12,12
